         817262139 function calls (802877440 primitive calls) in 295.902 seconds

   Ordered by: cumulative time
   List reduced from 4748 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    87690    1.852    0.000  343.160    0.004 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/src/monte_neo/utils/parallel.py:207(as_completed_with_timeout)
        4    0.000    0.000  301.124   75.281 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/numba/core/dispatcher.py:344(_compile_for_args)
  904/370    0.002    0.000  301.083    0.814 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
  330/120    0.006    0.000  301.063    2.509 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/numba/core/compiler_machinery.py:267(_runPass)
     29/4    0.000    0.000  301.053   75.263 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/numba/core/dispatcher.py:862(compile)
      9/4    0.000    0.000  301.052   75.263 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/numba/core/dispatcher.py:79(compile)
      9/4    0.000    0.000  301.052   75.263 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/numba/core/dispatcher.py:86(_compile_cached)
      9/4    0.000    0.000  301.052   75.263 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/numba/core/dispatcher.py:101(_compile_core)
      9/4    0.000    0.000  301.051   75.263 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/numba/core/compiler.py:713(compile_extra)
  990/360    0.016    0.000  301.048    0.836 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/numba/core/compiler_machinery.py:271(check)
     10/4    0.000    0.000  300.874   75.219 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/numba/core/compiler.py:433(compile_extra)
     10/4    0.000    0.000  300.868   75.217 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/numba/core/compiler.py:500(_compile_bytecode)
     16/4    0.000    0.000  300.868   75.217 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/numba/core/compiler.py:456(_compile_core)
     16/4    0.001    0.000  300.867   75.217 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/numba/core/compiler_machinery.py:342(run)
        1    0.000    0.000  296.256  296.256 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/src/monte_neo/core/generator.py:91(generate)
        1    0.000    0.000  296.256  296.256 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/src/monte_neo/core/generator_search.py:22(run_search)
        1    0.000    0.000  296.246  296.246 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/src/monte_neo/metrics/calculator.py:49(calculate_all)
        1    0.000    0.000  296.244  296.244 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/src/monte_neo/metrics/calculator.py:163(_extract_trades)
       96    0.262    0.003  291.450    3.036 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/src/monte_neo/core/generator.py:61(_run_mc_validation)
       96    0.028    0.000  291.175    3.033 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/src/monte_neo/monte_carlo/engine.py:63(run)
